Neighborhood,Sector #,Population (2010),"Total Pop, 25 and older (2010)",Edu. Attainment: Less than High School (2010),Edu. Attainment: High School Graduate (2010),Edu. Attainment: Assoc./Prof. Degree (2010),Edu. Attainment: Bachelor's Degree (2010),Edu. Attainment: Postgraduate Degree (2010),1999 Median Income ('99 Dollars),2009 Median Income ('09 Dollars),1999 Median Income ('11 Dollars),2009 Med. Income ('13 Dollars),Est. Pop. for which Poverty Calc. (2010),Est. Pop. Under Poverty (2010),Est. Percent Under Poverty (2010)
Allegheny Center,3.00,933.00,609.00,18.70,44.50,17.20,15.80,3.80,16964.00,20911.00,22535.00,22793.00,954.00,324.00,34.00
Allegheny West,3.00,462.00,239.00,9.20,28.90,6.70,44.80,10.50,26638.00,41761.00,35386.00,45519.00,239.00,12.00,5.00
Allentown,6.00,2500.00,1729.00,23.00,63.30,6.60,5.60,1.50,22539.00,29274.00,29941.00,31909.00,2212.00,630.00,28.50
Arlington,7.00,1869.00,1232.00,14.90,65.30,10.10,7.10,2.50,27167.00,25119.00,36089.00,27380.00,1779.00,361.00,20.30
Arlington Heights,7.00,244.00,166.00,18.10,74.10,0.00,7.80,0.00,18646.00,9417.00,24769.00,10265.00,293.00,169.00,57.70
Banksville,5.00,4144.00,3935.00,9.80,51.50,9.80,22.30,6.60,38555.00,50625.00,51217.00,55181.00,4170.00,243.00,5.80
Bedford Dwellings,15.00,1202.00,733.00,8.30,49.90,12.80,14.20,14.70,8955.00,9992.00,11896.00,10891.00,1203.00,589.00,49.00
Beechview,5.00,7974.00,5211.00,11.00,58.10,11.10,13.60,6.20,34079.00,36602.00,45270.00,39896.00,7450.00,1366.00,18.30
Beltzhoover,6.00,1925.00,1369.00,19.30,54.30,13.80,8.30,4.20,26750.00,33869.00,35535.00,36917.00,2066.00,485.00,23.50
Bloomfield,12.00,8442.00,6671.00,11.20,42.60,8.60,24.10,13.50,23831.00,30830.00,31658.00,33604.00,9192.00,1781.00,19.40
Bluff,15.00,6600.00,2834.00,14.10,73.90,4.40,2.60,5.00,11515.00,12795.00,15297.00,13947.00,1365.00,1095.00,80.20
Bon Air,6.00,808.00,715.00,21.50,57.20,8.10,9.20,3.90,40417.00,37448.00,53690.00,40818.00,967.00,106.00,11.00
Brighton Heights,2.00,7247.00,5597.00,9.90,51.60,13.10,18.00,7.40,34466.00,39694.00,45785.00,43267.00,8366.00,1780.00,21.30
Brookline,5.00,13214.00,10716.00,8.90,57.50,11.40,16.20,6.00,38096.00,45691.00,50606.00,49803.00,14454.00,1692.00,11.70
California-Kirkbride,3.00,761.00,416.00,8.90,72.40,2.40,16.30,0.00,23750.00,26351.00,31550.00,28723.00,912.00,572.00,62.70
Carrick,5.00,10113.00,7615.00,16.60,58.70,10.20,10.10,4.40,29721.00,37563.00,39481.00,40943.00,10435.00,1546.00,14.80
Central Business District,16.00,3629.00,2163.00,10.90,44.90,9.40,16.10,18.70,20500.00,37475.00,27232.00,40848.00,2405.00,692.00,28.80
Central Lawrenceville,13.00,4482.00,3821.00,16.70,55.40,7.80,16.20,3.90,21851.00,31816.00,29026.00,34679.00,4561.00,1001.00,21.90
Central Northside,3.00,2923.00,2248.00,11.90,46.30,8.00,25.20,8.60,23920.00,33004.00,31775.00,35974.00,2824.00,694.00,24.60
Central Oakland,14.00,6086.00,1075.00,23.60,39.50,3.40,14.90,18.50,14888.00,16717.00,19777.00,18222.00,4472.00,2897.00,64.80
Chartiers City,4.00,477.00,330.00,15.80,47.00,19.70,10.60,7.00,31806.00,40125.00,42251.00,43736.00,418.00,22.00,5.30
Chateau,3.00,11.00,0.00,NULL,NULL,NULL,NULL,NULL,7440.00,0.00,9883.00,0.00,92.00,92.00,100.00
Crafton Heights,4.00,3814.00,2731.00,17.50,62.80,9.60,9.40,0.70,35625.00,39288.00,47324.00,42824.00,3837.00,630.00,16.40
Crawford-Roberts,15.00,2256.00,1312.00,27.60,46.00,5.90,13.70,6.80,13449.00,14932.00,17866.00,16276.00,2048.00,988.00,48.20
Duquesne Heights,6.00,2425.00,1887.00,8.50,48.30,7.90,22.00,13.30,42708.00,44160.00,56733.00,48134.00,2320.00,331.00,14.30
East Allegheny,3.00,2136.00,1892.00,17.40,51.10,11.70,13.60,6.20,17267.00,28172.00,22938.00,30707.00,2425.00,538.00,22.20
East Carnegie,4.00,570.00,204.00,9.80,79.90,4.90,0.00,5.40,26429.00,40750.00,35108.00,44418.00,255.00,32.00,12.50
East Hills,11.00,3169.00,1532.00,11.40,64.80,11.30,11.40,1.10,17159.00,21658.00,22794.00,23607.00,2588.00,1073.00,41.50
East Liberty,12.00,5869.00,4176.00,15.40,49.00,9.10,16.50,10.00,18778.00,22958.00,24945.00,25024.00,6137.00,2030.00,33.10
Elliott,4.00,2381.00,1481.00,23.20,47.70,19.00,9.50,0.70,29954.00,26042.00,39791.00,28386.00,2268.00,445.00,19.60
Esplen,4.00,301.00,174.00,34.50,54.00,5.20,0.00,6.30,28000.00,13618.00,37195.00,14844.00,262.00,159.00,60.70
Fairywood,4.00,1002.00,233.00,14.60,51.50,17.60,16.30,0.00,11222.00,34438.00,14907.00,37537.00,400.00,150.00,37.50
Fineview,3.00,1285.00,986.00,16.00,66.80,9.90,3.70,3.50,17535.00,29643.00,23294.00,32311.00,1415.00,473.00,33.40
Friendship,12.00,1785.00,1091.00,4.50,28.20,7.40,30.50,29.30,22358.00,22107.00,29700.00,24097.00,1596.00,334.00,20.90
Garfield,12.00,3675.00,2424.00,19.00,54.60,10.50,10.00,5.90,20298.00,20937.00,26964.00,22821.00,4166.00,1852.00,44.50
Glen Hazel,9.00,716.00,558.00,41.00,34.10,15.60,9.30,0.00,9315.00,12833.00,12374.00,13988.00,526.00,200.00,38.00
Greenfield,9.00,7294.00,5823.00,7.10,42.80,10.50,22.30,17.30,35613.00,43580.00,47308.00,47502.00,7860.00,725.00,9.20
Hays,8.00,362.00,335.00,56.70,26.60,10.10,6.60,0.00,23125.00,29833.00,30719.00,32518.00,545.00,161.00,29.50
Hazelwood,9.00,4317.00,2870.00,16.20,61.10,6.90,8.40,7.40,24613.00,31067.00,32695.00,33863.00,4082.00,1059.00,25.90
Highland Park,12.00,6395.00,5041.00,6.60,25.50,12.10,23.90,31.80,42711.00,61455.00,56737.00,66985.00,6782.00,621.00,9.20
Homewood North,11.00,3280.00,2102.00,15.80,68.80,5.80,8.80,0.70,19229.00,21158.00,25543.00,23062.00,3570.00,1988.00,55.70
Homewood South,11.00,2344.00,1537.00,23.10,58.40,7.40,7.90,3.20,16724.00,20190.00,22216.00,22007.00,2114.00,675.00,31.90
Homewood West,11.00,818.00,608.00,26.80,53.60,11.00,7.60,1.00,20658.00,14423.00,27442.00,15721.00,918.00,338.00,36.80
Knoxville,6.00,3747.00,2379.00,22.10,60.20,3.20,11.10,3.30,26488.00,27893.00,35187.00,30403.00,3947.00,1130.00,28.60
Larimer,12.00,1728.00,1205.00,17.10,63.80,10.70,6.30,2.10,18478.00,26665.00,24546.00,29064.00,1544.00,333.00,21.60
Lincoln Place,8.00,3227.00,2554.00,10.30,66.30,8.40,11.40,3.50,38889.00,41188.00,51660.00,44895.00,3584.00,129.00,3.60
Lincoln-Lemington-Belmar,11.00,4883.00,2897.00,15.40,59.60,12.80,8.50,3.60,23403.00,29564.00,31089.00,32225.00,4896.00,1490.00,30.40
Lower Lawrenceville,13.00,2341.00,1908.00,17.10,48.30,7.70,17.30,9.60,20547.00,22311.00,27295.00,24319.00,2606.00,1008.00,38.70
Manchester,3.00,2130.00,1315.00,12.90,61.80,12.20,6.90,6.10,24055.00,32418.00,31955.00,35336.00,2068.00,391.00,18.90
Marshall-Shadeland,2.00,6043.00,3401.00,24.70,57.50,6.10,8.20,3.50,29021.00,32608.00,38552.00,35543.00,4478.00,1265.00,28.20
Middle Hill,15.00,1707.00,1252.00,9.90,69.50,7.90,6.70,6.00,21633.00,22957.00,28737.00,25023.00,1623.00,429.00,26.40
Morningside,12.00,3346.00,2772.00,15.00,42.90,12.40,21.50,8.10,35980.00,41490.00,47796.00,45224.00,3682.00,193.00,5.20
Mount Washington,6.00,8799.00,6936.00,10.90,52.10,10.30,16.80,9.70,28295.00,43321.00,37587.00,47219.00,9516.00,1926.00,20.20
Mt. Oliver,7.00,509.00,355.00,22.50,68.70,2.80,0.00,5.90,31832.00,38505.00,42285.00,41970.00,552.00,201.00,36.40
New Homestead,8.00,990.00,923.00,10.10,63.10,10.90,13.00,2.90,42019.00,83167.00,55818.00,90652.00,1360.00,115.00,8.50
North Oakland,14.00,10551.00,3050.00,4.30,23.10,15.30,27.40,29.90,41532.00,50004.00,55171.00,54504.00,5077.00,1989.00,39.20
North Shore,16.00,303.00,196.00,5.60,36.20,24.00,5.60,28.60,70125.00,82650.00,93154.00,90089.00,229.00,0.00,0.00
Northview Heights,1.00,1214.00,578.00,24.90,64.50,10.60,0.00,0.00,9256.00,12933.00,12296.00,14097.00,1436.00,834.00,58.10
Oakwood,4.00,1027.00,764.00,16.10,54.30,11.10,6.30,12.20,29716.00,34345.00,39475.00,37436.00,1106.00,137.00,12.40
