Neighborhood,Sector #,Population (2010),Miles of Major Roads,Total Street Miles,Street Density (st. mi/area sq. mi),# Sets of Steps,# Step Treads,Res. Permit Parking Area(s),Total Working Pop. (Age 16+) (2010),Commute to Work: Drive Alone (2010),Commute to Work: Carpool/Vanpool (2010),Commute to Work: Public Transportation (2010),Commute to Work: Taxi (2010),Commute to Work: Motorcycle (2010),Commute to Work: Bicycle (2010),Commute to Work: Walk (2010),Commute to Work: Other (2010),Work at Home (2010)
Allegheny Center,3.00,933.00,2.23,4.14,19.70,0.00,0.00,None,386.00,27.70,9.80,16.80,0.00,0.00,0.00,43.80,0.00,1.80
Allegheny West,3.00,462.00,1.47,4.87,34.50,0.00,0.00,G,151.00,23.20,20.50,15.90,14.60,0.00,0.00,25.80,0.00,0.00
Allentown,6.00,2500.00,1.65,12.33,41.80,12.00,474.00,None,824.00,47.00,10.90,38.00,0.00,0.80,0.00,0.00,1.50,1.80
Arlington,7.00,1869.00,0.86,10.73,22.80,13.00,428.00,None,673.00,74.00,7.30,13.50,0.00,0.00,0.00,1.90,0.90,2.40
Arlington Heights,7.00,244.00,0.00,1.09,8.20,0.00,0.00,None,72.00,11.10,0.00,88.90,0.00,0.00,0.00,0.00,0.00,0.00
Banksville,5.00,4144.00,5.99,18.33,18.90,4.00,322.00,None,2506.00,81.50,5.90,11.70,0.00,0.00,0.00,0.70,0.20,0.00
Bedford Dwellings,15.00,1202.00,0.97,4.48,25.10,3.00,234.00,None,305.00,36.70,16.70,33.80,0.00,0.00,0.00,12.80,0.00,0.00
Beechview,5.00,7974.00,6.42,30.75,21.10,39.00,2494.00,BB; T,3909.00,55.10,15.30,21.20,0.00,0.00,0.60,5.30,0.00,2.60
Beltzhoover,6.00,1925.00,3.32,17.26,41.00,16.00,595.00,None,706.00,45.80,8.10,43.10,0.00,0.00,0.00,0.00,0.00,3.10
Bloomfield,12.00,8442.00,3.80,31.74,45.20,3.00,131.00,H; R,5117.00,42.00,9.30,20.00,0.00,0.80,6.40,18.80,0.00,2.60
Bluff,15.00,6600.00,9.08,16.48,50.40,2.00,188.00,P,1379.00,25.50,4.00,23.10,0.00,0.00,0.00,43.10,0.00,4.40
Bon Air,6.00,808.00,1.67,9.17,29.30,1.00,57.00,None,438.00,60.30,20.80,13.50,0.00,0.00,0.00,3.70,0.00,1.80
Brighton Heights,2.00,7247.00,4.19,29.52,26.40,10.00,477.00,None,3968.00,63.10,11.50,17.90,0.00,0.50,0.00,3.20,1.10,2.70
Brookline,5.00,13214.00,9.15,56.88,27.30,25.00,1797.00,None,7067.00,73.10,9.70,12.00,0.40,0.80,0.20,2.80,0.60,0.50
California-Kirkbride,3.00,761.00,1.58,6.38,29.40,9.00,748.00,None,227.00,45.40,0.00,41.00,0.00,0.00,0.00,13.70,0.00,0.00
Carrick,5.00,10113.00,6.56,45.98,27.50,20.00,1193.00,None,4783.00,62.10,10.30,19.60,0.00,0.30,0.00,4.70,0.00,3.10
Central Business District,16.00,3629.00,13.55,30.84,48.20,0.00,0.00,None,1566.00,24.80,5.40,21.10,0.00,0.00,0.00,42.00,0.00,6.80
Central Lawrenceville,13.00,4482.00,2.53,18.26,19.00,1.00,9.00,A,2111.00,51.80,20.20,17.40,0.00,0.00,1.50,7.70,0.00,1.40
Central Northside,3.00,2923.00,1.81,12.18,47.00,4.00,395.00,L,1514.00,47.90,8.10,19.70,0.00,0.00,2.00,18.10,0.00,4.20
Central Oakland,14.00,6086.00,1.12,9.50,33.80,7.00,462.00,B; D,2509.00,16.30,6.90,13.30,0.00,0.00,0.00,62.40,0.00,1.20
Chartiers City,4.00,477.00,0.35,4.32,32.80,1.00,81.00,None,178.00,77.50,7.90,14.60,0.00,0.00,0.00,0.00,0.00,0.00
Chateau,3.00,11.00,5.72,13.44,35.10,0.00,0.00,None,0.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Crafton Heights,4.00,3814.00,3.04,19.33,25.60,9.00,632.00,None,1757.00,67.70,12.30,16.80,0.00,0.70,0.00,0.80,0.70,0.90
Crawford-Roberts,15.00,2256.00,1.57,11.09,43.00,4.00,197.00,W,635.00,65.40,9.60,16.50,2.00,0.00,0.00,6.50,0.00,0.00
Duquesne Heights,6.00,2425.00,4.08,14.05,22.60,12.00,529.00,None,1223.00,55.90,16.30,14.10,0.00,0.00,0.00,2.90,1.70,9.20
East Allegheny,3.00,2136.00,7.59,16.94,71.80,4.00,487.00,F,1195.00,44.30,12.20,22.90,0.00,0.00,0.90,13.60,0.80,5.30
East Carnegie,4.00,570.00,0.77,5.55,12.90,0.00,0.00,None,86.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
East Hills,11.00,3169.00,1.68,14.62,27.00,5.00,738.00,None,802.00,46.00,10.60,36.20,0.00,0.00,0.00,2.90,3.40,1.00
East Liberty,12.00,5869.00,4.59,21.13,36.40,0.00,0.00,None,2377.00,47.90,10.10,23.80,0.00,0.00,0.00,15.90,0.90,1.40
Elliott,4.00,2381.00,4.06,19.04,31.40,19.00,1328.00,None,949.00,43.40,22.70,27.60,0.00,0.00,0.00,3.30,0.00,3.10
Esplen,4.00,301.00,1.42,4.30,18.70,2.00,54.00,None,68.00,39.70,44.10,16.20,0.00,0.00,0.00,0.00,0.00,0.00
Fairywood,4.00,1002.00,1.40,9.11,9.40,0.00,0.00,None,116.00,42.20,14.70,6.00,0.00,11.20,0.00,0.00,0.00,25.90
Fineview,3.00,1285.00,0.65,8.51,34.00,16.00,1248.00,None,547.00,48.30,5.10,37.10,2.60,0.00,0.00,6.90,0.00,0.00
Friendship,12.00,1785.00,0.57,4.40,41.50,0.00,0.00,None,936.00,35.80,6.80,28.50,0.00,0.00,4.90,20.10,0.00,3.80
Garfield,12.00,3675.00,1.25,16.47,36.00,13.00,962.00,None,1472.00,44.50,6.50,27.20,2.30,0.00,1.60,13.60,0.00,4.20
Glen Hazel,9.00,716.00,0.15,2.57,5.60,1.00,108.00,None,89.00,64.00,0.00,36.00,0.00,0.00,0.00,0.00,0.00,0.00
Greenfield,9.00,7294.00,3.88,27.81,36.00,23.00,1362.00,None,4363.00,57.90,14.20,14.60,0.20,0.00,3.10,6.90,0.40,2.80
Hays,8.00,362.00,6.45,12.06,6.90,0.00,0.00,None,166.00,81.90,18.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Hazelwood,9.00,4317.00,3.61,29.88,18.90,18.00,1373.00,None,1729.00,60.60,9.10,25.90,0.00,0.00,0.40,3.30,0.00,0.80
Highland Park,12.00,6395.00,5.73,27.15,23.30,3.00,66.00,None,3699.00,53.60,12.10,24.00,0.00,0.00,1.90,5.10,1.00,2.40
Homewood North,11.00,3280.00,1.76,16.79,38.70,8.00,565.00,None,1174.00,47.60,4.00,35.80,0.00,0.00,0.00,7.80,0.00,4.90
Homewood South,11.00,2344.00,1.76,16.69,41.90,0.00,0.00,O,598.00,45.50,12.50,34.10,0.00,0.00,0.00,4.30,0.00,3.50
Homewood West,11.00,818.00,1.58,6.43,32.30,0.00,0.00,None,285.00,28.40,27.70,30.50,0.00,0.00,0.00,10.90,0.00,2.50
Knoxville,6.00,3747.00,1.20,14.42,47.70,5.00,151.00,None,1493.00,48.40,12.40,30.40,0.00,0.00,0.00,7.50,1.30,0.00
Larimer,12.00,1728.00,2.93,15.79,35.50,2.00,93.00,None,462.00,51.50,6.10,31.00,0.00,0.00,0.00,9.30,0.00,2.20
Lincoln Place,8.00,3227.00,2.95,21.96,22.30,5.00,248.00,None,1881.00,83.90,5.00,8.90,0.00,0.00,0.00,0.30,1.00,0.90
Lincoln-Lemington-Belmar,11.00,4883.00,6.31,30.38,16.80,8.00,585.00,None,1607.00,51.40,10.40,27.90,0.00,0.00,0.00,4.30,0.00,6.00
Lower Lawrenceville,13.00,2341.00,2.15,12.73,29.60,0.00,0.00,None,1182.00,44.50,10.80,18.20,0.00,1.20,7.50,13.70,0.00,4.10
Manchester,3.00,2130.00,2.16,11.14,39.90,0.00,0.00,None,749.00,35.90,1.10,41.70,0.00,0.00,0.00,11.60,4.80,4.90
Marshall-Shadeland,2.00,6043.00,7.06,24.54,19.60,27.00,1295.00,None,2006.00,48.90,9.30,34.30,0.00,0.00,0.00,5.30,0.50,1.60
Middle Hill,15.00,1707.00,0.94,13.26,43.50,9.00,441.00,None,606.00,40.80,6.80,48.30,0.00,0.00,0.00,4.10,0.00,0.00
Morningside,12.00,3346.00,1.94,15.24,39.90,6.00,327.00,None,1921.00,59.60,16.00,15.10,0.00,0.00,1.20,5.30,1.20,1.50
Mount Washington,6.00,8799.00,4.63,34.25,30.00,32.00,1367.00,BB; N,5247.00,65.00,8.60,16.50,0.00,0.30,0.50,5.90,0.20,3.00
Mt. Oliver,7.00,509.00,0.74,3.53,35.30,5.00,155.00,None,196.00,52.00,11.20,23.50,0.00,0.00,0.00,13.30,0.00,0.00
New Homestead,8.00,990.00,0.62,12.11,15.20,0.00,0.00,None,737.00,88.90,3.70,1.90,0.00,0.00,0.00,1.80,0.00,3.80
North Oakland,14.00,10551.00,2.45,15.00,30.10,4.00,72.00,S; Q,3436.00,20.60,7.20,11.50,0.40,0.00,2.90,52.60,0.40,4.40
North Shore,16.00,303.00,6.81,13.60,44.90,0.00,0.00,G,161.00,72.00,0.00,0.00,0.00,0.00,0.00,28.00,0.00,0.00
Northview Heights,1.00,1214.00,3.16,5.79,18.50,0.00,0.00,None,296.00,8.40,0.00,77.40,0.00,0.00,0.00,5.70,0.00,8.40
Oakwood,4.00,1027.00,1.77,5.72,22.70,3.00,57.00,None,431.00,78.40,2.60,12.30,0.00,0.00,0.00,4.60,0.00,2.10
Overbrook,5.00,3644.00,2.66,20.92,24.90,14.00,820.00,None,2015.00,68.10,13.80,15.50,0.00,0.00,0.00,2.60,0.00,0.00
Perry North,2.00,4050.00,5.56,27.11,22.40,18.00,997.00,None,2056.00,67.40,14.10,13.10,0.00,0.00,0.00,3.70,0.00,1.70
Perry South,2.00,4145.00,3.45,23.12,25.50,29.00,1783.00,None,1485.00,52.70,10.20,32.80,0.00,0.00,0.00,3.60,0.00,0.70
Point Breeze,10.00,5315.00,5.13,21.33,21.20,4.00,129.00,None,3177.00,64.60,7.60,15.80,0.00,0.00,1.20,3.90,1.10,5.80
Point Breeze North,11.00,2054.00,1.63,6.74,23.60,0.00,0.00,None,969.00,39.90,16.30,35.70,0.00,0.00,0.00,1.50,1.20,5.30
Polish Hill,13.00,1274.00,1.46,8.02,31.40,16.00,988.00,None,921.00,73.00,9.70,11.30,0.00,0.00,0.00,1.20,0.00,4.90
Regent Square,10.00,928.00,0.46,4.51,23.50,0.00,0.00,None,614.00,60.60,9.30,23.50,0.00,0.00,0.00,3.10,0.00,3.60
Ridgemont,4.00,483.00,3.31,6.77,18.40,2.00,76.00,None,276.00,80.40,4.70,0.00,0.00,0.00,0.00,14.90,0.00,0.00
Shadyside,12.00,13915.00,4.29,27.24,29.60,0.00,0.00,J; U; V; X; Y,8223.00,44.80,7.30,26.90,0.00,0.40,1.20,17.30,0.40,1.70
Sheraden,4.00,5299.00,1.84,31.11,35.00,20.00,1189.00,None,2438.00,53.70,20.80,20.90,0.00,0.00,0.00,1.70,2.30,0.60
South Oakland,14.00,2969.00,8.07,19.22,37.80,11.00,689.00,E; M,1132.00,46.60,2.80,14.00,0.70,0.00,0.00,30.20,1.00,4.80
South Shore,16.00,19.00,3.64,7.98,37.70,0.00,0.00,None,38.00,76.30,0.00,23.70,0.00,0.00,0.00,0.00,0.00,0.00
South Side Flats,7.00,6597.00,4.09,25.94,27.70,2.00,83.00,DD,4328.00,53.00,8.00,15.60,0.00,0.30,1.40,19.30,0.30,2.00
South Side Slopes,7.00,4423.00,2.53,22.24,31.10,66.00,5402.00,None,2586.00,62.90,13.50,11.30,0.00,0.00,0.00,9.90,0.20,2.10
Spring Garden,1.00,884.00,1.93,6.55,23.80,14.00,1053.00,None,638.00,41.40,30.40,6.70,0.00,0.00,5.20,12.50,0.00,3.80
Spring Hill-City View,1.00,2648.00,1.92,15.18,24.10,16.00,1393.00,None,899.00,53.10,18.20,14.80,0.00,0.00,6.30,4.40,0.00,3.10
Squirrel Hill North,10.00,11363.00,8.19,26.46,21.70,4.00,252.00,J; K; Z,5962.00,47.50,4.50,11.10,0.00,0.20,1.60,26.10,0.00,9.00
Squirrel Hill South,10.00,15110.00,7.99,46.67,17.50,5.00,112.00,None,7779.00,54.00,8.70,22.70,0.00,0.20,2.50,6.80,0.30,4.80
St. Clair,7.00,209.00,1.37,4.36,14.10,1.00,26.00,None,289.00,30.80,0.00,55.00,0.00,0.00,0.00,10.00,0.00,4.20
Stanton Heights,13.00,4601.00,2.16,20.53,27.90,11.00,762.00,None,2468.00,71.50,11.90,12.60,0.30,0.80,1.90,0.90,0.00,0.20
Strip District,13.00,616.00,5.16,17.34,28.50,1.00,65.00,None,277.00,53.80,19.10,18.10,0.00,0.00,0.00,0.00,0.00,9.00
Summer Hill,1.00,1051.00,4.94,12.68,28.90,0.00,0.00,None,643.00,94.60,2.80,2.60,0.00,0.00,0.00,0.00,0.00,0.00
Swisshelm Park,10.00,1361.00,2.04,8.54,17.80,0.00,0.00,None,710.00,69.60,16.90,6.50,0.00,0.00,3.10,3.00,0.00,1.00
Terrace Village,15.00,3228.00,0.74,7.41,21.70,3.00,157.00,None,1031.00,16.30,6.40,45.20,0.00,0.00,0.00,31.20,0.00,0.90
Troy Hill,1.00,2714.00,2.40,13.63,29.60,10.00,598.00,None,1370.00,65.00,13.80,9.90,0.00,0.00,0.00,8.50,1.20,1.60
Upper Hill,15.00,2057.00,0.77,9.57,30.60,15.00,695.00,None,633.00,49.00,13.10,31.30,0.00,0.00,0.00,4.30,2.40,0.00
Upper Lawrenceville,13.00,2669.00,1.83,12.09,29.90,9.00,1121.00,None,1163.00,56.70,5.40,25.00,0.00,0.00,1.00,5.20,0.00,6.50
West End,4.00,254.00,4.17,7.04,35.20,5.00,311.00,None,64.00,48.40,17.20,15.60,0.00,18.80,0.00,0.00,0.00,0.00
West Oakland,14.00,2604.00,1.26,6.49,30.20,6.00,376.00,B; C,834.00,35.50,1.00,22.10,0.00,0.00,0.00,40.80,0.70,0.00
Westwood,4.00,3066.00,2.41,16.64,24.00,8.00,375.00,None,1563.00,63.00,11.40,12.90,0.00,1.20,0.00,8.70,0.00,2.90
Windgap,4.00,1369.00,1.10,8.92,21.50,1.00,16.00,None,567.00,60.00,16.90,18.00,0.00,0.00,0.00,0.00,5.10,0.00
