route,ridership_route_code,route_full_name,current_garage,mode,month_start,year_month,day_type,on_time_percent,data_source
1,001,1 - FREEPORT ROAD,Ross,Bus,2017-01-01,201701,WEEKDAY,0.6837,UTA
1,001,1 - FREEPORT ROAD,Ross,Bus,2017-01-01,201701,SAT.,0.6977,UTA
1,001,1 - FREEPORT ROAD,Ross,Bus,2017-01-01,201701,SUN.,0.628,UTA
2,002,2 - MOUNT ROYAL,Ross,Bus,2017-01-01,201701,WEEKDAY,0.6978,UTA
4,004,4 - TROY HILL,Ross,Bus,2017-01-01,201701,WEEKDAY,0.7438,UTA
4,004,4 - TROY HILL,Ross,Bus,2017-01-01,201701,SAT.,0.7042,UTA
6,006,6 - SPRING HILL,Ross,Bus,2017-01-01,201701,WEEKDAY,0.8049,UTA
6,006,6 - SPRING HILL,Ross,Bus,2017-01-01,201701,SAT.,0.7361,UTA
6,006,6 - SPRING HILL,Ross,Bus,2017-01-01,201701,SUN.,0.7749,UTA
7,007,7 - SPRING GARDEN,Ross,Bus,2017-01-01,201701,WEEKDAY,0.6233,UTA
8,008,8 - PERRYSVILLE,Ross,Bus,2017-01-01,201701,WEEKDAY,0.7239,UTA
8,008,8 - PERRYSVILLE,Ross,Bus,2017-01-01,201701,SAT.,0.735,UTA
8,008,8 - PERRYSVILLE,Ross,Bus,2017-01-01,201701,SUN.,0.7475,UTA
11,011,11 - FINEVIEW,Ross,Bus,2017-01-01,201701,WEEKDAY,0.7438,UTA
11,011,11 - FINEVIEW,Ross,Bus,2017-01-01,201701,SAT.,0.6715,UTA
11,011,11 - FINEVIEW,Ross,Bus,2017-01-01,201701,SUN.,0.7362,UTA
12,012,12 - MCKNIGHT,Ross,Bus,2017-01-01,201701,WEEKDAY,0.6842,UTA
12,012,12 - MCKNIGHT,Ross,Bus,2017-01-01,201701,SAT.,0.6137,UTA
12,012,12 - MCKNIGHT,Ross,Bus,2017-01-01,201701,SUN.,0.7228,UTA
13,013,13 - BELLEVUE,Ross,Bus,2017-01-01,201701,WEEKDAY,0.6795,UTA
13,013,13 - BELLEVUE,Ross,Bus,2017-01-01,201701,SAT.,0.7552,UTA
13,013,13 - BELLEVUE,Ross,Bus,2017-01-01,201701,SUN.,0.781,UTA
14,014,14 - OHIO VALLEY,Ross,Bus,2017-01-01,201701,WEEKDAY,0.7055,UTA
14,014,14 - OHIO VALLEY,Ross,Bus,2017-01-01,201701,SAT.,0.7178,UTA
14,014,14 - OHIO VALLEY,Ross,Bus,2017-01-01,201701,SUN.,0.7537,UTA
15,015,15 - CHARLES,Ross,Bus,2017-01-01,201701,WEEKDAY,0.7717,UTA
15,015,15 - CHARLES,Ross,Bus,2017-01-01,201701,SAT.,0.8209,UTA
15,015,15 - CHARLES,Ross,Bus,2017-01-01,201701,SUN.,0.709,UTA
