node;polygon
P03090;Central Business District
P02325;Central Business District
P03360;Central Business District
P00930;Central Business District
P02550;Central Business District
E17302;Shadyside
P03690;Central Business District
E17303;Shadyside
P02860;Central Business District
P01250;Central Business District
P03695;Central Business District
P02290;Central Business District
P02120;Central Business District
P00740;Central Business District
P03315;Central Business District
P01040;Central Business District
P02910;Central Business District
P03440;Central Business District
E17305;Shadyside
E17304;Shadyside
P02430;Central Business District
P01620;Central Business District
E19610;Squirrel Hill North
E01870;West Oakland
P02470;Central Business District
W26185;Sheraden
P02310;Central Business District
E19910;Squirrel Hill North
P00750;Central Business District
P02270;Central Business District
E17299;Homewood South
P03145;Central Business District
N04610;Chateau
P03660;Central Business District
P02280;Central Business District
W26180;Sheraden
S16190;South Side Flats
P02320;Central Business District
P00710;Central Business District
E13795;Shadyside
E19660;Squirrel Hill South
P70024;Central Business District
E17301;Homewood South
E01180;West Oakland
P00375;Central Business District
P00860;Central Business District
P00590;Central Business District
N71216;Chateau
P00940;Central Business District
P70027;Central Business District
P02650;Central Business District
E01360;Central Oakland
S00180;South Side Flats
E01730;North Oakland
E41740;Friendship
E19650;Squirrel Hill North
P01150;Central Business District
P02865;Central Business District
S16570;South Shore
E01410;Shadyside
P00850;Central Business District
P00610;Central Business District
S08140;Knoxville
S42503;Mount Washington
P01875;Central Business District
E19130;Central Oakland
E19870;North Oakland
E01010;North Oakland
E70217;Terrace Village
P02530;Central Business District
E19210;Central Oakland
E01420;Squirrel Hill North
P02800;Central Business District
E02050;North Oakland
N53500;Lincoln-Lemington-Belmar
E15720;North Oakland
S00160;South Side Slopes
E13385;Crawford-Roberts
S16540;South Shore
E15620;North Oakland
P00585;Central Business District
S70020;South Side Flats
N53540;Lincoln-Lemington-Belmar
N38480;Allegheny Center
S70138;South Side Flats
E19320;North Oakland
P02600;Central Business District
E01050;West Oakland
E41330;Squirrel Hill South
S08700;Knoxville
E01650;Shadyside
E01210;Central Oakland
S70407;South Side Flats
E70230;Shadyside
E15760;North Oakland
E01000;North Oakland
S09090;Carrick
E19200;Central Oakland
P01610;Central Business District
E13170;Bloomfield
P03000;Central Business District
N13585;East Allegheny
E01660;Squirrel Hill North
S08370;Carrick
S08930;Carrick
P03150;Central Business District
E13690;East Liberty
E70234;Shadyside
S08770;Carrick
S16060;South Side Flats
S48620;South Side Flats
S08790;Knoxville
E15680;North Oakland
P70019;Central Business District
E01335;Central Oakland
P00600;Central Business District
S16630;South Side Flats
S16260;South Side Flats
S09310;Carrick
P03490;Central Business District
E41230;Squirrel Hill South
P02490;Central Business District
E46060;East Liberty
E53500;Highland Park
E29055;East Liberty
P01330;Central Business District
P01940;Central Business District
E45640;Central Lawrenceville
E13640;Bloomfield
P00650;Central Business District
P00390;Central Business District
S09620;Carrick
E41950;Highland Park
E17306;Polish Hill
E00980;Shadyside
E45630;Central Lawrenceville
E41340;Squirrel Hill South
S16310;South Side Flats
E70365;East Liberty
E15730;North Oakland
P02890;Central Business District
E46630;Bloomfield
E01710;North Oakland
N70048;Lincoln-Lemington-Belmar
E35370;Bloomfield
E13940;Middle Hill
E19770;Squirrel Hill South
N53510;Lincoln-Lemington-Belmar
E70804;North Oakland
P02080;Central Business District
E46070;East Liberty
P02030;Central Business District
N17040;Allegheny Center
N45780;Spring Hill-City View
S00450;South Side Slopes
E13470;Middle Hill
P01600;Central Business District
E11660;Central Lawrenceville
E15650;North Oakland
E01150;North Oakland
S00590;South Side Flats
E41190;Squirrel Hill South
P02830;Central Business District
E19800;Squirrel Hill North
E13650;Shadyside
E41960;East Liberty
E70378;Squirrel Hill North
P00615;Central Business District
E13180;Shadyside
E19360;Squirrel Hill North
P00380;Central Business District
E70814;Shadyside
E70425;Shadyside
S00370;South Side Flats
E41755;Shadyside
E41200;Squirrel Hill South
S16160;South Side Flats
E01470;Squirrel Hill North
E41240;Squirrel Hill South
E01460;Shadyside
N19270;Central Northside
W26165;Oakwood
N19200;Allegheny Center
N08120;Chateau
E52780;East Liberty
E01720;North Oakland
E41110;Squirrel Hill South
E01900;Squirrel Hill North
E70792;Bedford Dwellings
E41090;Squirrel Hill South
E70429;Crawford-Roberts
E29130;Highland Park
E35850;Lincoln-Lemington-Belmar
E19570;Central Oakland
E70244;Lower Lawrenceville
E01140;North Oakland
E46460;Shadyside
E13450;Middle Hill
E19810;Squirrel Hill South
S09140;Carrick
E19280;Squirrel Hill North
S04450;South Side Slopes
P00920;Central Business District
N10810;Brighton Heights
N05000;Allegheny Center
E19840;North Oakland
E01225;South Oakland
N14830;Manchester
E29140;East Liberty
X03410;Brookline
E11760;Upper Lawrenceville
E17307;Polish Hill
E13950;Terrace Village
N45670;Spring Hill-City View
N13610;Allegheny Center
S16270;South Side Flats
N71205;Central Northside
E12030;Central Lawrenceville
E13910;Shadyside
S16590;South Side Flats
E41175;Squirrel Hill North
E70780;Bedford Dwellings
E41100;Squirrel Hill South
E19310;South Oakland
P00490;Central Business District
E35350;Bloomfield
P70018;Central Business District
N43350;Perry South
E00975;North Oakland
S16300;South Side Flats
E41170;Squirrel Hill South
E15660;North Oakland
E70815;Shadyside
S08390;Carrick
E13480;Shadyside
E46200;Bloomfield
E41890;East Liberty
E13630;Bloomfield
S16230;South Side Flats
P02670;Central Business District
N43360;Perry South
E41180;Squirrel Hill North
E13880;Terrace Village
N41350;Northview Heights
E41290;Squirrel Hill South
E41120;Squirrel Hill South
E45710;Garfield
S08460;Carrick
E29210;Shadyside
E13340;North Oakland
N38770;Allegheny Center
E41900;Friendship
X04400;Brookline
E70426;Shadyside
E19460;South Oakland
E13190;Terrace Village
N33220;Fineview
N10820;Marshall-Shadeland
S04260;South Side Slopes
W26160;Oakwood
E41250;Greenfield
S08730;Knoxville
P00680;Central Business District
X03110;Brookline
S04550;Arlington
E13600;North Oakland
E14000;Shadyside
P00580;Central Business District
S09550;Carrick
E57950;East Hills
E45610;Central Lawrenceville
E42132;Bloomfield
E42794;Terrace Village
E12230;Central Lawrenceville
E46190;Central Lawrenceville
E41140;Squirrel Hill South
S16170;South Side Flats
E28960;East Liberty
N10250;Brighton Heights
E18280;Bloomfield
E11770;Upper Lawrenceville
W03540;Elliott
E35270;Bloomfield
E28880;Shadyside
E01990;Squirrel Hill North
E41260;Greenfield
E35260;Bloomfield
S16090;South Side Flats
W16940;Westwood
S08130;Carrick
E51340;Squirrel Hill North
E41300;Squirrel Hill South
P02060;Central Business District
N10755;Marshall-Shadeland
S09750;Carrick
S47500;Allentown
E29077;East Liberty
E28910;Shadyside
E46250;Garfield
P00330;Central Business District
E00910;Shadyside
E00970;North Oakland
N70000;Central Northside
E70791;Middle Hill
E70271;West Oakland
E45720;Bloomfield
E20450;Homewood South
N10260;Brighton Heights
N43430;Perry North
E18530;Shadyside
E12080;Lower Lawrenceville
E11780;Upper Lawrenceville
E13380;Bloomfield
E39300;Bloomfield
N38390;Allegheny Center
S70042;South Side Flats
E28970;Shadyside
