,STOP_ID,geom_from_node,sensor_ID,geom_to_node,geometry
0,P03090,POINT (-8905310.019121999 4117359.033939548),3923@1,POINT (-8905034.441043371 4117419.156942401),"LINESTRING (-79.99776099999998 40.44154999337175, -79.99528544 40.44226041337205)"
1,P02325,POINT (-8905019.697890012 4117544.287491469),3923@1,POINT (-8905034.441043371 4117419.156942401),"LINESTRING (-79.995153 40.44373899337282, -79.99528544 40.44226041337205)"
2,P03360,POINT (-8906000.756562373 4117311.555942578),193@1,POINT (-8905928.28868706 4117357.338787118),"LINESTRING (-80.00396600000001 40.44098899337148, -80.00331500999999 40.44152996337172)"
3,P00930,POINT (-8905604.013897186 4117506.966445005),5284@1,POINT (-8905787.264703343 4117436.834384341),"LINESTRING (-80.00040200000001 40.44329799337253, -80.00204816999999 40.44246929337221)"
4,P02550,POINT (-8905511.952678299 4117431.054184983),8053@1,POINT (-8905686.992558816 4117315.787508943),"LINESTRING (-79.99957499999999 40.44240099337215, -80.00114740999999 40.44103899337151)"
5,E17302,POINT (-8897006.698303729 4118867.293982337),25091@2,POINT (-8897175.257163495 4118929.769457335),"LINESTRING (-79.923171 40.45937399338015, -79.92468519000001 40.46011240338053)"
6,TP7010,POINT (-8892119.104740961 4115117.918203608),27452@1,POINT (-8891822.551843876 4115035.17092572),"LINESTRING (-79.879265 40.41507399335924, -79.87660102 40.41409663335878)"
7,E17298,POINT (-8893136.119608847 4117746.460127001),26004@1,POINT (-8893293.819252286 4117682.132929827),"LINESTRING (-79.88840099999999 40.44612799337391, -79.88981764 40.44536785337353)"
8,P03690,POINT (-8905506.609342741 4117382.307325008),8053@1,POINT (-8905686.992558816 4117315.787508943),"LINESTRING (-79.999527 40.44182499337186, -80.00114740999999 40.44103899337151)"
9,E17303,POINT (-8896972.077942092 4118869.409196161),25091@2,POINT (-8897175.257163495 4118929.769457335),"LINESTRING (-79.92285999999999 40.45939899338018, -79.92468519000001 40.46011240338053)"
10,E17297,POINT (-8893135.11773343 4117771.67831866),26004@1,POINT (-8893293.819252286 4117682.132929827),"LINESTRING (-79.888392 40.44642599337403, -79.88981764 40.44536785337353)"
11,P02860,POINT (-8905579.52360921 4117507.304958985),5284@1,POINT (-8905787.264703343 4117436.834384341),"LINESTRING (-80.000182 40.44330199337259, -80.00204816999999 40.44246929337221)"
12,P01250,POINT (-8906238.201036233 4117214.821490502),27769@1,POINT (-8906165.463767754 4117141.683076379),"LINESTRING (-80.00609899999999 40.43984599337094, -80.00544558999999 40.43898181337052)"
13,P03695,POINT (-8905621.268418258 4117257.645515911),8053@1,POINT (-8905686.992558816 4117315.787508943),"LINESTRING (-80.000557 40.44035199337117, -80.00114740999999 40.44103899337151)"
14,P02290,POINT (-8905755.297085173 4117397.032982302),5284@1,POINT (-8905787.264703343 4117436.834384341),"LINESTRING (-80.001761 40.44199899337192, -80.00204816999999 40.44246929337221)"
15,P02120,POINT (-8905057.323877899 4117326.281780156),3923@1,POINT (-8905034.441043371 4117419.156942401),"LINESTRING (-79.99549099999999 40.44116299337156, -79.99528544 40.44226041337205)"
16,W08025,POINT (-8934013.415864572 4121991.972927923),38938@1,POINT (-8933457.933831906 4123040.495363141),"LINESTRING (-80.255608 40.49631499339756, -80.25061802 40.50871546340344)"
17,P00740,POINT (-8905351.875250537 4117355.987234876),3923@1,POINT (-8905034.441043371 4117419.156942401),"LINESTRING (-79.99813699999999 40.44151399337171, -79.99528544 40.44226041337205)"
18,P03315,POINT (-8906050.96165272 4117258.576469461),5285@1,POINT (-8906100.170433624 4117341.791262546),"LINESTRING (-80.004417 40.44036299337117, -80.00485904999999 40.44134625337166)"
19,W70047,POINT (-8930640.323974045 4122621.930979262),21676@2,POINT (-8930414.143919457 4122859.961934931),"LINESTRING (-80.22530699999999 40.50376499340106, -80.22327519 40.50658020340244)"
20,P01040,POINT (-8905392.952142641 4117548.011120067),8053@1,POINT (-8905686.992558816 4117315.787508943),"LINESTRING (-79.99850599999999 40.44378299337282, -80.00114740999999 40.44103899337151)"
21,P02910,POINT (-8905261.929101977 4117573.653315489),3923@1,POINT (-8905034.441043371 4117419.156942401),"LINESTRING (-79.99732899999999 40.44408599337297, -79.99528544 40.44226041337205)"
22,N09505,POINT (-8908943.821259964 4129613.891008751),10598@1,POINT (-8909362.294602951 4129398.729311261),"LINESTRING (-80.03040399999999 40.58650799344001, -80.03416321000002 40.58396026343883)"
23,P03440,POINT (-8906026.694003725 4117420.3908445),5285@1,POINT (-8906100.170433624 4117341.791262546),"LINESTRING (-80.00419899999999 40.44227499337208, -80.00485904999999 40.44134625337166)"
24,E17305,POINT (-8898035.179079168 4118637.323313821),27434@1,POINT (-8897630.549428059 4118307.650562854),"LINESTRING (-79.93240999999999 40.4566559933789, -79.92877515000001 40.45275981337701)"
25,E17304,POINT (-8898067.016453534 4118635.461850877),27434@1,POINT (-8897630.549428059 4118307.650562854),"LINESTRING (-79.93269599999999 40.45663399337884, -79.92877515000001 40.45275981337701)"
26,P02430,POINT (-8906124.432516642 4117327.466616032),5285@1,POINT (-8906100.170433624 4117341.791262546),"LINESTRING (-80.00507699999999 40.44117699337156, -80.00485904999999 40.44134625337166)"
27,W26140,POINT (-8915600.281531438 4114339.808637057),137@2,POINT (-8915275.844215108 4114556.275842577),"LINESTRING (-80.0902 40.4058839933549, -80.08728553 40.40844049335613)"
28,P01620,POINT (-8904684.069625268 4117559.435874653),27409@1,POINT (-8904621.456864476 4117402.526319909),"LINESTRING (-79.99213799999998 40.44391799337284, -79.99157553999999 40.44206390337199)"
29,E19610,POINT (-8899275.612165079 4117623.244829333),8054@1,POINT (-8899436.698147424 4117840.002986241),"LINESTRING (-79.94355300000001 40.44467199337321, -79.94500005999998 40.44723338337442)"
30,E01870,POINT (-8900938.168760076 4117380.36082727),19400@1,POINT (-8900804.588710709 4117339.438522616),"LINESTRING (-79.958488 40.44180199337185, -79.95728803 40.44131845337165)"
31,P02470,POINT (-8905795.48342135 4117372.828721151),5284@1,POINT (-8905787.264703343 4117436.834384341),"LINESTRING (-80.002122 40.4417129933718, -80.00204816999999 40.44246929337221)"
32,W26185,POINT (-8911544.244564896 4118317.48133063),6708@2,POINT (-8911615.34766325 4119260.885548724),"LINESTRING (-80.053764 40.45287599337707, -80.05440273000001 40.46402606338235)"
33,P02310,POINT (-8905537.667480672 4117441.378987973),8053@1,POINT (-8905686.992558816 4117315.787508943),"LINESTRING (-79.99980599999999 40.44252299337222, -80.00114740999999 40.44103899337151)"
34,W26145,POINT (-8915619.094525384 4114346.497946297),137@2,POINT (-8915275.844215108 4114556.275842577),"LINESTRING (-80.090369 40.40596299335492, -80.08728553 40.40844049335613)"
35,S33262,POINT (-8890032.643525023 4109797.763581726),6031@1,POINT (-8890490.217839148 4109561.419756173),"LINESTRING (-79.860522 40.35226399332947, -79.86463246 40.34947504332818)"
36,E19910,POINT (-8899162.734201415 4117611.820200905),8054@1,POINT (-8899436.698147424 4117840.002986241),"LINESTRING (-79.942539 40.44453699337314, -79.94500005999998 40.44723338337442)"
37,P00750,POINT (-8905484.902042037 4117406.003766631),8053@1,POINT (-8905686.992558816 4117315.787508943),"LINESTRING (-79.99933200000001 40.44210499337196, -80.00114740999999 40.44103899337151)"
38,P02270,POINT (-8905852.812959107 4117375.536895269),193@1,POINT (-8905928.28868706 4117357.338787118),"LINESTRING (-80.00263699999999 40.44174499337184, -80.00331500999999 40.44152996337172)"
39,E17299,POINT (-8894344.270042427 4118326.112219859),27473@1,POINT (-8894292.085691532 4118306.259463017),"LINESTRING (-79.899254 40.45297799337713, -79.89878521999999 40.45274337337703)"
40,P03145,POINT (-8905459.743837118 4117188.669903913),27771@1,POINT (-8905624.990942029 4117099.448940334),"LINESTRING (-79.99910600000001 40.43953699337083, -80.00059044 40.43848279337031)"
41,N04610,POINT (-8907545.871094581 4117886.59740909),157@1,POINT (-8907104.518256655 4118247.146718115),"LINESTRING (-80.01784599999998 40.44778399337469, -80.01388126000001 40.45204478337673)"
42,P03660,POINT (-8905715.556026962 4117143.898790038),27771@1,POINT (-8905624.990942029 4117099.448940334),"LINESTRING (-80.00140400000002 40.43900799337054, -80.00059044 40.43848279337031)"
43,E17291,POINT (-8892914.259863695 4115464.943349359),3134@1,POINT (-8893025.217566144 4115287.340867349),"LINESTRING (-79.88640799999999 40.41917299336122, -79.88740474999999 40.41707515336021)"
44,P02280,POINT (-8905585.868820187 4117417.005652928),8053@1,POINT (-8905686.992558816 4117315.787508943),"LINESTRING (-80.00023900000001 40.44223499337204, -80.00114740999999 40.44103899337151)"
45,W26180,POINT (-8911545.135120822 4118303.773421231),6708@2,POINT (-8911615.34766325 4119260.885548724),"LINESTRING (-80.053772 40.45271399337702, -80.05440273000001 40.46402606338235)"
46,N43030,POINT (-8908843.077120796 4123033.353643097),11553@1,POINT (-8908862.188450975 4122964.2703396),"LINESTRING (-80.02949899999999 40.50863099340342, -80.02967068 40.50781390340299)"
47,W08033,POINT (-8912043.512481103 4114143.274975845),27597@1,POINT (-8911208.609620985 4113988.731833755),"LINESTRING (-80.05824899999999 40.4035629933538, -80.05074894000001 40.40173794335291)"
48,S16190,POINT (-8903405.565273508 4116268.634267866),27506@1,POINT (-8903573.437292015 4116191.899051495),"LINESTRING (-79.980653 40.42866699336562, -79.98216102000001 40.42776046336521)"
49,P02320,POINT (-8905436.255424557 4117460.420584442),8053@1,POINT (-8905686.992558816 4117315.787508943),"LINESTRING (-79.99889499999998 40.44274799337229, -80.00114740999999 40.44103899337151)"
50,W08036,POINT (-8912049.301094625 4114121.089369721),27597@1,POINT (-8911208.609620985 4113988.731833755),"LINESTRING (-80.058301 40.4033009933537, -80.05074894000001 40.40173794335291)"
51,P00710,POINT (-8905290.649530601 4117349.470666714),3923@1,POINT (-8905034.441043371 4117419.156942401),"LINESTRING (-79.99758699999998 40.44143699337168, -79.99528544 40.44226041337205)"
52,E13795,POINT (-8898273.291469974 4118668.375811641),27434@1,POINT (-8897630.549428059 4118307.650562854),"LINESTRING (-79.93454899999999 40.45702299337904, -79.92877515000001 40.45275981337701)"
53,E19660,POINT (-8897009.036013037 4117055.117237949),27436@1,POINT (-8896669.918995453 4117452.389269849),"LINESTRING (-79.923192 40.43795899337004, -79.92014566 40.44265309337226)"
54,E17292,POINT (-8892899.231732439 4115443.270761009),3134@1,POINT (-8893025.217566144 4115287.340867349),"LINESTRING (-79.886273 40.41891699336104, -79.88740474999999 40.41707515336021)"
55,P70024,POINT (-8906014.337540248 4117426.230295298),193@1,POINT (-8905928.28868706 4117357.338787118),"LINESTRING (-80.004088 40.44234399337212, -80.00331500999999 40.44152996337172)"
56,E17257,POINT (-8892851.475670889 4117017.79303244),27472@1,POINT (-8892789.031002529 4117394.313816343),"LINESTRING (-79.88584399999999 40.43751799336982, -79.88528305 40.44196686337193)"
