STOP_ID;sensor_ID;geometry
P03090;3923@1;LINESTRING (-79.99776099999998 40.44154999337175, -79.99528544 40.44226041337205)
P02325;3923@1;LINESTRING (-79.995153 40.44373899337282, -79.99528544 40.44226041337205)
P03360;193@1;LINESTRING (-80.00396600000001 40.44098899337148, -80.00331500999999 40.44152996337172)
P00930;5284@1;LINESTRING (-80.00040200000001 40.44329799337253, -80.00204816999999 40.44246929337221)
P02550;8053@1;LINESTRING (-79.99957499999999 40.44240099337215, -80.00114740999999 40.44103899337151)
E17302;25091@2;LINESTRING (-79.923171 40.45937399338015, -79.92468519000001 40.46011240338053)
TP7010;27452@1;LINESTRING (-79.879265 40.41507399335924, -79.87660102 40.41409663335878)
E17298;26004@1;LINESTRING (-79.88840099999999 40.44612799337391, -79.88981764 40.44536785337353)
P03690;8053@1;LINESTRING (-79.999527 40.44182499337186, -80.00114740999999 40.44103899337151)
E17303;25091@2;LINESTRING (-79.92285999999999 40.45939899338018, -79.92468519000001 40.46011240338053)
E17297;26004@1;LINESTRING (-79.888392 40.44642599337403, -79.88981764 40.44536785337353)
P02860;5284@1;LINESTRING (-80.000182 40.44330199337259, -80.00204816999999 40.44246929337221)
P01250;27769@1;LINESTRING (-80.00609899999999 40.43984599337094, -80.00544558999999 40.43898181337052)
P03695;8053@1;LINESTRING (-80.000557 40.44035199337117, -80.00114740999999 40.44103899337151)
P02290;5284@1;LINESTRING (-80.001761 40.44199899337192, -80.00204816999999 40.44246929337221)
P02120;3923@1;LINESTRING (-79.99549099999999 40.44116299337156, -79.99528544 40.44226041337205)
W08025;38938@1;LINESTRING (-80.255608 40.49631499339756, -80.25061802 40.50871546340344)
P00740;3923@1;LINESTRING (-79.99813699999999 40.44151399337171, -79.99528544 40.44226041337205)
P03315;5285@1;LINESTRING (-80.004417 40.44036299337117, -80.00485904999999 40.44134625337166)
W70047;21676@2;LINESTRING (-80.22530699999999 40.50376499340106, -80.22327519 40.50658020340244)
P01040;8053@1;LINESTRING (-79.99850599999999 40.44378299337282, -80.00114740999999 40.44103899337151)
P02910;3923@1;LINESTRING (-79.99732899999999 40.44408599337297, -79.99528544 40.44226041337205)
N09505;10598@1;LINESTRING (-80.03040399999999 40.58650799344001, -80.03416321000002 40.58396026343883)
P03440;5285@1;LINESTRING (-80.00419899999999 40.44227499337208, -80.00485904999999 40.44134625337166)
E17305;27434@1;LINESTRING (-79.93240999999999 40.4566559933789, -79.92877515000001 40.45275981337701)
E17304;27434@1;LINESTRING (-79.93269599999999 40.45663399337884, -79.92877515000001 40.45275981337701)
P02430;5285@1;LINESTRING (-80.00507699999999 40.44117699337156, -80.00485904999999 40.44134625337166)
W26140;137@2;LINESTRING (-80.0902 40.4058839933549, -80.08728553 40.40844049335613)
P01620;27409@1;LINESTRING (-79.99213799999998 40.44391799337284, -79.99157553999999 40.44206390337199)
E19610;8054@1;LINESTRING (-79.94355300000001 40.44467199337321, -79.94500005999998 40.44723338337442)
E01870;19400@1;LINESTRING (-79.958488 40.44180199337185, -79.95728803 40.44131845337165)
P02470;5284@1;LINESTRING (-80.002122 40.4417129933718, -80.00204816999999 40.44246929337221)
W26185;6708@2;LINESTRING (-80.053764 40.45287599337707, -80.05440273000001 40.46402606338235)
P02310;8053@1;LINESTRING (-79.99980599999999 40.44252299337222, -80.00114740999999 40.44103899337151)
W26145;137@2;LINESTRING (-80.090369 40.40596299335492, -80.08728553 40.40844049335613)
S33262;6031@1;LINESTRING (-79.860522 40.35226399332947, -79.86463246 40.34947504332818)
