node;polygon
27598@1;West End
27849@1;East Allegheny
27583@1;Beechview
27559@1;South Side Slopes
93@1;Duquesne Heights
47@2;West End
47@1;Duquesne Heights
27523@1;California-Kirkbride
27553@1;Mount Washington
21562@2;Beechview
21562@1;Brookline
27447@1;Greenfield
10498@2;Larimer
5285@1;Central Business District
27458@1;Central Oakland
5484@2;South Shore
27632@1;West End
6700@2;Chateau
6700@1;Chateau
19400@1;Central Oakland
27790@1;Central Business District
27381@1;Squirrel Hill South
6724@1;West End
27566@1;Brookline
5284@1;Central Business District
27769@1;Central Business District
6097@1;Central Oakland
6097@2;South Oakland
69@1;Mount Washington
46@2;Banksville
46@1;Banksville
27791@1;Central Business District
27380@1;South Oakland
30383@1;North Oakland
193@1;Central Business District
27541@1;Spring Hill-City View
27768@1;Central Business District
6734@1;Marshall-Shadeland
27631@1;Elliott
27539@1;Perry South
27375@1;Bluff
27426@1;Central Lawrenceville
8050@1;Squirrel Hill North
5947@1;Lower Lawrenceville
8051@1;Squirrel Hill South
27630@2;Crafton Heights
27630@1;Crafton Heights
93@2;Duquesne Heights
27648@1;Fairywood
27454@1;Point Breeze
157@1;Allegheny West
11302@1;Morningside
24433@2;Central Business District
24433@1;Central Business District
11552@1;Perry South
6761@1;Duquesne Heights
6761@2;West End
5286@1;North Oakland
27442@1;North Oakland
21564@2;Central Business District
26007@1;Highland Park
26007@2;Highland Park
27564@1;Carrick
24434@1;North Shore
491@2;Point Breeze
491@1;Point Breeze North
27399@1;Crawford-Roberts
27394@1;South Side Flats
3677@2;Squirrel Hill South
3677@1;Squirrel Hill South
27434@1;Shadyside
38268@1;Central Business District
27488@1;Marshall-Shadeland
26006@1;Point Breeze North
26006@2;Larimer
5483@2;South Shore
5666@2;Marshall-Shadeland
5666@1;Marshall-Shadeland
5483@1;South Shore
27543@1;Marshall-Shadeland
10498@1;Shadyside
10606@2;Hays
27788@1;Central Business District
5938@1;Homewood West
27505@1;South Side Slopes
106@1;Hazelwood
8053@1;Central Business District
5288@1;Regent Square
5293@1;Banksville
27428@1;Garfield
1378@2;Polish Hill
1378@1;Upper Hill
8054@1;Squirrel Hill North
6100@1;Bluff
6100@2;Bluff
27443@1;Squirrel Hill South
27439@1;East Liberty
5701@1;Perry North
27417@1;Stanton Heights
5987@2;Central Business District
5987@1;Central Business District
12100@1;Westwood
6880@1;East Liberty
6880@2;East Liberty
14077@2;Strip District
27396@1;Bloomfield
21555@1;Fairywood
27656@1;Oakwood
27409@1;Central Business District
27588@1;Brookline
27416@1;Central Lawrenceville
27436@1;Squirrel Hill North
26555@1;South Shore
27771@1;Central Business District
27471@1;Bloomfield
27549@1;Carrick
27466@1;Morningside
8055@1;Point Breeze
27592@1;Duquesne Heights
6098@2;South Oakland
6098@1;South Oakland
27470@1;Central Lawrenceville
6116@1;Lincoln Place
10554@1;Squirrel Hill North
6723@1;Elliott
27453@1;Larimer
27468@1;Morningside
3936@1;Spring Garden
27448@1;Squirrel Hill South
27782@1;Central Business District
5989@1;South Oakland
27772@1;Central Business District
21564@1;Bluff
27372@1;Point Breeze
27568@1;Carrick
26003@1;Point Breeze North
26003@2;Point Breeze
10508@1;Hays
5491@1;Westwood
27390@1;Terrace Village
27387@1;Terrace Village
69@2;Mount Washington
27552@1;Carrick
27548@1;Bon Air
27586@1;Brookline
27506@1;South Side Flats
14405@1;South Oakland
27638@1;Fairywood
3923@1;Central Business District
27593@1;Duquesne Heights
27473@1;Homewood South
27469@1;Homewood South
279@1;Strip District
6708@2;Esplen
6708@1;Esplen
27391@1;South Oakland
5935@1;Shadyside
5935@2;Polish Hill
27496@1;Squirrel Hill South
27433@1;Shadyside
8057@1;Bluff
25091@1;Shadyside
25091@2;East Liberty
27382@1;Squirrel Hill South
27392@1;Bluff
19430@1;Central Business District
38269@1;Crawford-Roberts
6726@2;West End
5484@1;South Shore
27582@1;Brookline
27563@1;Beltzhoover
5992@1;Point Breeze
27556@1;Allentown
5948@2;Highland Park
19075@1;Lincoln Place
21670@1;West End
21670@2;Elliott
27547@1;St. Clair
103@1;South Side Flats
27680@1;North Shore
27432@1;Squirrel Hill North
3925@1;Strip District
27591@1;Mount Washington
5948@1;Lincoln-Lemington-Belmar
10548@2;East Hills
10548@1;East Hills
27681@1;North Shore
27474@1;Homewood North
27479@1;Highland Park
27589@1;Brookline
5937@1;Point Breeze North
125@2;Central Business District
125@1;Central Business District
19432@1;South Oakland
27377@1;Perry South
27424@1;Squirrel Hill North
27557@1;Arlington
27463@1;Greenfield
19433@1;South Oakland
27561@1;Mount Washington
5699@2;Elliott
27785@1;Strip District
21555@2;Fairywood
27641@1;Fairywood
5287@1;Squirrel Hill South
33699@1;Hazelwood
27418@1;Highland Park
25103@1;South Oakland
25103@2;South Oakland
31188@1;South Side Flats
6757@2;West End
6757@1;Duquesne Heights
21563@2;Beltzhoover
21563@1;Beltzhoover
14578@1;Lincoln-Lemington-Belmar
27446@1;Greenfield
27476@1;Larimer
19401@1;Squirrel Hill North
5718@1;Troy Hill
31189@1;South Side Flats
27558@1;South Side Slopes
27546@1;Carrick
5294@1;Brighton Heights
27625@1;Sheraden
27461@1;Greenfield
